city,country,date,lat,lng,temp,max temp,humidity,cloudiness,wind_speed_mph
talnakh,RU,1620175031,69.4865,88.3972,25.66,25.66,93,100,10.22
busselton,AU,1620174799,-33.65,115.3333,58.23,59.0,98,100,1.01
husavik,IS,1620175056,66.0449,-17.3389,30.2,30.2,74,0,2.3
juneau,US,1620174924,58.3019,-134.4197,39.2,44.6,81,90,8.05
kihei,US,1620175057,20.785,-156.4656,74.08,82.4,61,20,21.85
divo,CI,1620175057,5.8397,-5.36,74.3,74.3,93,100,3.76
aklavik,CA,1620175058,68.2191,-135.0107,29.25,30.2,69,100,8.05
kavaratti,IN,1620174829,10.5669,72.642,84.36,84.36,72,34,3.51
camana,PE,1620175059,-16.6228,-72.7111,68.07,68.07,83,100,8.34
richards bay,ZA,1620174763,-28.783,32.0377,60.96,60.96,86,0,5.28
lumphat,KH,1620175060,13.4878,106.9816,86.32,86.32,55,98,8.37
palmer,US,1620175061,42.1584,-72.3287,54.64,57.2,72,90,10.36
kudahuvadhoo,MV,1620175061,2.6708,72.8944,83.97,83.97,69,99,1.23
lorengau,PG,1620175062,-2.0226,147.2712,85.64,85.64,62,6,2.01
katsuura,JP,1620175063,35.1333,140.3,69.01,69.8,73,75,17.27
murray bridge,AU,1620175063,-35.1167,139.2667,53.04,55.99,71,100,6.58
diego de almagro,CL,1620175064,-26.3667,-70.05,57.2,57.2,54,0,2.48
hermanus,ZA,1620175065,-34.4187,19.2345,64.99,64.99,87,67,3.8
hithadhoo,MV,1620175065,-0.6,73.0833,83.61,83.61,67,15,4.03
faanui,PF,1620175066,-16.4833,-151.75,82.62,82.62,76,29,13.78
ribeira grande,PT,1620174921,38.5167,-28.7,63.09,63.09,90,100,8.21
shirokiy,RU,1620175067,49.758,129.523,53.98,53.98,65,34,14.52
mackay,AU,1620174917,-21.15,149.2,79.68,81.0,73,0,2.3
voyvozh,RU,1620175068,62.892,54.9635,35.08,35.08,98,100,2.24
winnemucca,US,1620175069,40.973,-117.7357,73.4,73.4,14,1,13.8
mnogovershinnyy,RU,1620175069,53.9353,139.9242,38.8,38.8,42,88,8.77
micheweni,TZ,1620175070,-4.9667,39.8333,79.21,79.21,76,100,19.3
belyy yar,RU,1620175071,53.6039,91.3903,33.8,33.8,69,0,6.71
nelson bay,AU,1620175071,-32.7167,152.15,59.63,60.01,100,75,6.91
ballina,AU,1620175072,-28.8667,153.5667,60.19,62.6,82,100,12.66
arica,CL,1620175072,-18.475,-70.3042,66.2,66.2,77,0,3.44
vila franca do campo,PT,1620175073,37.7167,-25.4333,59.0,59.0,88,20,4.61
salalah,OM,1620175074,17.0151,54.0924,84.2,84.2,79,20,4.61
reconquista,AR,1620175074,-29.15,-59.65,53.37,53.37,80,100,17.58
barrow,US,1620175001,71.2906,-156.7887,17.6,17.6,73,90,9.22
khatanga,RU,1620175075,71.9667,102.5,32.79,32.79,97,100,4.9
petropavlovsk-kamchatskiy,RU,1620175076,53.0452,158.6483,51.8,51.8,37,17,15.66
port alfred,ZA,1620175077,-33.5906,26.891,65.95,65.95,70,8,6.8
